"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_3521","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA
"ASV_3522","Bacteria","Myxococcota","bacteriap25",NA,NA,NA
"ASV_3523","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora",NA
"ASV_3524","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"ASV_3525","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"ASV_3526","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA
"ASV_3527","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"ASV_3528","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinus"
"ASV_3529","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_3530","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA
"ASV_3531","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"ASV_3532","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
